"Gallery Text","De"
"Sears Telegames Pong","Videojuegos"
"Coleco Telstar","Videojuegos"
"Magnavox Odyssey","Videojuegos"
"Magnavox Odyssey 200","Videojuegos"
"Atari 2600","Videojuegos"
"ColecoVision","Videojuegos"
"Intellivision","Videojuegos"
"Atari 5200","Videojuegos"
"SG-1000","Videojuegos"
"TV-Game 6","Videojuegos"
"Game & Watch","Videojuegos"
"SG-1000","Videojuegos"
"Color TV Racing 112","Videojuegos"
"Vectrex","Videojuegos"
"Arcadia 2001","Videojuegos"
"Video Pinball","Videojuegos"
"Fairchild Channel F","Videojuegos"
"Epoch Cassette Vision","Videojuegos"
"Famicom","Videojuegos"
"Nintendo Entertainment System","Videojuegos"
"Sega Master System","Videojuegos"
"Atari 7800","Videojuegos"
"Amstrad GX4000","Videojuegos"
"Gameboy","Videojuegos"
"Sega Game Gear","Videojuegos"
"SG-1000 Mark III","Videojuegos"
"Atari Lynx","Videojuegos"
"Atari XE Video Game System","Videojuegos"
"Sega Mega Drive / Sega Genesis","Videojuegos"
"Super Nintendo / Super Famicom","Videojuegos"
"PC Engine / TurboGrafx-16","Videojuegos"
"Neo-Geo","Videojuegos"
"Sega Mega-CD","Videojuegos"
"Game Boy Pocket","Videojuegos"
"TurboGrafx-16","Videojuegos"
"CD-i","Videojuegos"
"TurboExpress","Videojuegos"
"PC Engine Duo","Videojuegos"
"Watara Supervision","Videojuegos"
"Atari Jaguar","Videojuegos"
"Sega Saturn","Videojuegos"
"PlayStation","Videojuegos"
"Nintendo 64","Videojuegos"
"Apple Pippin","Videojuegos"
"Casio Loopy","Videojuegos"
"AmigaCD32","Videojuegos"
"3DO Interactive Multiplayer","Videojuegos"
"Game Boy Color","Videojuegos"
"Game Boy Light","Videojuegos"
"Sega Multi-Mega","Videojuegos"
"Sega Nomad","Videojuegos"
"Virtual Boy","Videojuegos"
"PocketStation","Videojuegos"
"GP32","Videojuegos"
"PC-FX","Videojuegos"
"WonderSwan","Videojuegos"
"Game.com","Videojuegos"
"Casio Loopy","Videojuegos"
"PlayStation 2","Videojuegos"
"Xbox","Videojuegos"
"Nintendo GameCube","Videojuegos"
"Sega Dreamcast","Videojuegos"
"Game Boy Advance SP","Videojuegos"
"Game Boy Advance","Videojuegos"
"Game Boy Micro","Videojuegos"
"Pokémon mini","Videojuegos"
"Nintendo iQue","Videojuegos"
"Neo Geo Pocket Color","Videojuegos"
"N-Gage","Videojuegos"
"N-Gage QD","Videojuegos"
"Tapwave Zodiac","Videojuegos"
"PlayStation 3","Videojuegos"
"Xbox 360","Videojuegos"
"Wii","Videojuegos"
"Zeebo","Videojuegos"
"PlayStation Portable","Videojuegos"
"Nintendo DS Lite","Videojuegos"
"Nintendo DSi","Videojuegos"
"Nintendo DS","Videojuegos"
"Nintendo DSi XL","Videojuegos"
"PlayStation Portable Go","Videojuegos"
"PlayStation Portable Slim & Lite","Videojuegos"
"Gizmondo","Videojuegos"
"PlayStation 4","Videojuegos"
"Xbox One","Videojuegos"
"Wii U","Videojuegos"
"Ouya","Videojuegos"
"Nintendo 3DS","Videojuegos"
"Nintendo 2DS","Videojuegos"
"New Nintendo 3DS","Videojuegos"
"New Nintendo 2DS XL","Videojuegos"
"PlayStation Vita","Videojuegos"
"Nintendo Switch","Videojuegos"
